"sample_id","Actinomycetaceae","Aerococcus","Aeromonas","Akkermansia","Alcaligenes faecalis et rel.","Allistipes et rel.","Anaerobiospirillum","Anaerofustis","Anaerostipes caccae et rel.","Anaerotruncus colihominis et rel.","Anaerovorax odorimutans et rel.","Aneurinibacillus","Aquabacterium","Asteroleplasma et rel.","Atopobium","Bacillus","Bacteroides fragilis et rel.","Bacteroides intestinalis et rel.","Bacteroides ovatus et rel.","Bacteroides plebeius et rel.","Bacteroides splachnicus et rel.","Bacteroides stercoris et rel.","Bacteroides uniformis et rel.","Bacteroides vulgatus et rel.","Bifidobacterium","Bilophila et rel.","Brachyspira","Bryantella formatexigens et rel.","Bulleidia moorei et rel.","Burkholderia","Butyrivibrio crossotus et rel.","Campylobacter","Catenibacterium mitsuokai et rel.","Clostridium (sensu stricto)","Clostridium cellulosi et rel.","Clostridium colinum et rel.","Clostridium difficile et rel.","Clostridium felsineum et rel.","Clostridium leptum et rel.","Clostridium nexile et rel.","Clostridium orbiscindens et rel.","Clostridium ramosum et rel.","Clostridium sphenoides et rel.","Clostridium stercorarium et rel.","Clostridium symbiosum et rel.","Clostridium thermocellum et rel.","Collinsella","Coprobacillus catenaformis et rel.","Coprococcus eutactus et rel.","Corynebacterium","Desulfovibrio et rel.","Dialister","Dorea formicigenerans et rel.","Eggerthella lenta et rel.","Enterobacter aerogenes et rel.","Enterococcus","Escherichia coli et rel.","Eubacterium biforme et rel.","Eubacterium cylindroides et rel.","Eubacterium hallii et rel.","Eubacterium limosum et rel.","Eubacterium rectale et rel.","Eubacterium siraeum et rel.","Eubacterium ventriosum et rel.","Faecalibacterium prausnitzii et rel.","Fusobacteria","Gemella","Granulicatella","Haemophilus","Helicobacter","Klebisiella pneumoniae et rel.","Lachnobacillus bovis et rel.","Lachnospira pectinoschiza et rel.","Lactobacillus catenaformis et rel.","Lactobacillus gasseri et rel.","Lactobacillus plantarum et rel.","Lactobacillus salivarius et rel.","Lactococcus","Leminorella","Megamonas hypermegale et rel.","Megasphaera elsdenii et rel.","Methylobacterium","Micrococcaceae","Mitsuokella multiacida et rel.","Moraxellaceae","Novosphingobium","Oceanospirillum","Oscillospira guillermondii et rel.","Outgrouping clostridium cluster XIVa","Oxalobacter formigenes et rel.","Papillibacter cinnamivorans et rel.","Parabacteroides distasonis et rel.","Peptococcus niger et rel.","Peptostreptococcus anaerobius et rel.","Peptostreptococcus micros et rel.","Phascolarctobacterium faecium et rel.","Prevotella melaninogenica et rel.","Prevotella oralis et rel.","Prevotella ruminicola et rel.","Prevotella tannerae et rel.","Propionibacterium","Proteus et rel.","Pseudomonas","Roseburia intestinalis et rel.","Ruminococcus bromii et rel.","Ruminococcus callidus et rel.","Ruminococcus gnavus et rel.","Ruminococcus lactaris et rel.","Ruminococcus obeum et rel.","Serratia","Sporobacter termitidis et rel.","Staphylococcus","Streptococcus bovis et rel.","Streptococcus intermedius et rel.","Streptococcus mitis et rel.","Subdoligranulum variable at rel.","Sutterella wadsworthia et rel.","Tannerella et rel.","Uncultured Bacteroidetes","Uncultured Chroococcales","Uncultured Clostridiales I","Uncultured Clostridiales II","Uncultured Mollicutes","Uncultured Selenomonadaceae","Veillonella","Vibrio","Weissella et rel.","Wissella et rel.","Xanthomonadaceae","Yersinia et rel."
"Sample-11",0,0,0,438,1,12,0,0,659,23,58,0,0,0,1,1,7,0,6,4,9,3,2,40,27,1,0,17,2,0,410,6,1,83,206,5,65,0,242,34,590,7,25,49,69,0,17,31,86,1,2,2,145,4,7,3,7,3,13,199,1,10,32,10,804,4,0,0,0,2,3,11,39,0,6,10,1,4,0,1,3,0,0,1,0,0,2,287,33,16,14,9,6,0,2,5,14,3,0,3,1,4,0,7,6,22,16,16,836,0,80,0,31,3,16,819,24,5,0,0,45,31,10,0,1,2,3,0,0,1
"Sample-12",0,0,0,31,1,12,0,1,673,19,12,0,0,0,0,1,14,0,8,3,9,3,3,7,285,1,0,28,2,0,62,3,1,16,175,5,21,0,40,81,177,5,22,126,49,0,9,8,57,1,2,3,116,4,7,3,7,3,2,172,1,11,2,7,5292,4,0,0,0,2,3,17,18,0,6,11,1,1,0,1,3,0,0,1,0,0,2,106,31,4,17,6,2,0,2,4,9,3,0,1,1,4,0,6,2,527,25,4,419,0,65,0,405,10,115,1546,9,5,0,0,41,15,7,0,1,1,1,0,0,1
"Sample-13",0,0,0,27,1,208,0,0,114,11,7,0,0,0,0,1,201,2,163,44,31,10,44,2348,367,1,0,77,3,0,89,4,1,20,63,13,24,0,59,99,184,8,266,9,215,0,9,20,303,1,5,47,363,4,7,4,8,6,4,51,1,53,2,118,1211,5,0,0,1,2,3,25,92,0,7,10,1,1,0,1,7,0,0,13,0,0,2,120,115,6,38,79,2,0,2,4,15,8,1,52,1,4,0,15,70,88,71,73,635,0,49,0,47,7,33,66,26,28,0,0,19,16,8,0,24,2,1,0,0,2
"Sample-14",0,0,0,38,1,14,0,0,32,9,15,0,0,0,0,1,210,0,15,5,11,5,53,37,71,1,0,55,6,0,76,4,1,34,198,5,38,0,68,73,212,5,104,5,111,0,3,13,1655,1,2,3,88,3,25,4,14,637,3,36,1,42,2,10,1057,5,0,0,4,2,4,25,23,0,8,10,1,1,0,2,11,0,0,1,0,0,1,41,63,3,115,9,2,0,2,4,889,164,1,3,1,4,0,20,25,52,36,7,1133,6,37,0,587,6,123,75,10,7,0,0,124,19,8,0,2,3,2,0,1,2
"Sample-15",0,0,0,100,1,13,0,0,289,9,40,0,0,0,0,1,7,0,5,3,8,4,2,55,18,1,0,15,2,0,43,3,0,13,749,5,23,0,92,112,464,3,25,109,55,0,17,5,320,1,2,2,171,4,6,3,6,2,4,162,1,17,1,15,313,4,0,0,0,2,3,33,28,0,6,9,1,1,0,1,2,0,0,1,0,0,1,416,429,4,179,6,1,0,2,20,9,2,0,2,1,3,0,9,112,62,18,4,390,0,130,0,21,2,10,57,4,5,0,0,19,15,7,0,1,2,1,0,0,1
"Sample-16",0,0,0,164,2,45,0,3,1535,9,97,0,0,0,0,1,32,2,18,10,18,7,12,1948,126,1,0,23,4,0,145,4,0,17,17,5,51,0,20,15,183,20,61,27,53,0,5,3,834,1,2,4,288,6,7,4,9,2,29,91,9,16,2,9,1693,5,0,0,0,2,4,11,14,0,7,12,1,2,0,1,3,0,0,1,0,0,2,39,23,3,17,14,2,0,2,4,11,6,1,45,1,4,0,10,3,23,42,3,2423,0,19,0,53,10,39,68,28,17,0,0,18,16,8,0,2,2,1,1,0,2
"Sample-17",0,0,0,128,1,14,0,1,591,16,32,0,0,0,1,1,6,0,5,4,9,3,1,35,292,1,0,18,2,0,150,4,1,15,1172,5,134,0,131,257,314,7,22,105,82,0,39,13,161,1,2,2,122,6,17,4,7,3,8,595,1,13,5,35,1474,4,0,0,0,2,4,15,80,0,7,11,1,2,0,1,2,0,0,1,0,0,1,61,105,8,430,7,3,0,2,5,9,2,0,2,1,4,0,10,52,26,43,10,408,0,235,0,448,15,141,938,12,5,0,0,38,18,7,0,1,2,1,0,0,1
"Sample-18",0,0,0,41,1,15,0,0,473,12,44,0,0,0,0,1,23,1,12,5,12,4,7,186,121,1,0,23,3,0,52,4,0,16,31,6,61,0,71,60,350,12,26,76,83,0,3,3,199,1,2,3,270,5,13,4,7,2,25,347,3,11,2,16,672,4,0,0,0,2,3,13,34,0,7,12,1,3,0,5,4,0,0,1,0,0,2,65,19,7,6,14,2,0,2,4,10,3,0,7,1,4,0,14,60,84,52,15,2537,0,45,0,35,4,18,32,10,8,0,0,17,16,8,0,1,2,1,0,0,2
"Sample-19",0,0,0,95,1,92,0,1,333,12,15,0,0,0,0,1,18,3,35,20,18,9,22,1930,44,1,0,24,2,0,112,4,1,14,222,6,13,0,156,193,185,8,39,7,80,0,15,33,398,1,2,6,91,4,10,3,7,4,3,229,1,58,2,70,1244,4,0,0,0,2,3,18,63,0,6,11,1,1,0,1,3,0,0,1,0,0,2,147,26,13,39,15,2,0,2,4,10,6,1,42,1,4,0,22,398,122,28,3,842,0,173,0,14,2,6,155,6,22,0,0,26,19,7,0,1,2,1,0,0,1
"Sample-20",0,0,0,75,4,36,0,0,151,45,44,0,0,0,0,1,35,1,20,11,14,6,25,214,300,1,0,87,2,0,146,3,0,17,654,35,96,0,102,286,312,2,97,7,145,0,30,3,1288,1,2,2,208,3,11,3,7,3,2,225,1,40,4,53,3117,4,0,0,0,2,3,37,39,0,6,11,1,1,0,1,3,0,0,1,0,0,1,733,161,9,133,21,31,0,2,5,19,4,1,8,1,4,0,27,27,159,39,37,3568,0,253,0,50,5,27,607,7,10,0,0,59,57,7,0,1,2,1,1,0,1
"Sample-21",0,0,0,54,1,14,0,1,898,11,23,0,0,0,0,1,7,0,6,3,8,2,2,56,74,1,0,44,2,0,77,3,1,13,465,6,13,0,47,212,279,5,35,65,95,0,15,12,474,1,2,2,157,4,13,6,6,18,3,336,1,20,2,50,1185,4,0,0,0,2,3,32,75,0,6,9,1,1,0,1,3,0,0,1,0,0,1,204,445,4,37,6,1,0,2,13,18,4,0,2,1,3,0,12,2,24,106,62,1505,0,159,0,122,7,50,566,5,5,0,0,54,25,6,0,1,2,4,0,0,1
"Sample-22",0,0,0,346,1,9,0,3,496,10,179,0,0,0,0,1,6,0,5,3,8,3,1,20,21,1,0,21,2,0,358,4,0,119,435,5,843,0,662,169,56,10,34,72,96,0,13,3,287,1,2,2,242,4,21,4,7,3,7,975,1,15,2,37,35,4,0,0,0,2,4,14,98,0,6,15,1,1,0,1,2,0,0,1,0,0,1,164,41,25,10,5,2,0,2,4,9,3,0,2,1,4,0,21,861,14,24,6,1434,0,299,0,11,2,5,106,5,4,0,0,17,19,7,0,1,3,1,0,0,1
"Sample-23",0,0,0,27,2,317,0,0,34,22,18,0,0,0,0,1,111,4,57,18,29,12,33,434,93,2,0,175,2,0,89,4,24,16,102,16,15,0,130,100,287,3,234,7,245,0,11,3,760,1,4,3,289,6,6,4,9,18,3,133,1,58,4,53,843,5,0,0,0,2,3,38,35,0,8,10,1,1,0,19,4,0,0,1,0,0,1,587,353,6,30,64,2,0,2,19,10757,1398,1,18,1,4,0,13,62,89,71,27,845,0,104,0,236,6,73,173,20,35,1,0,20,18,8,0,2,2,1,0,0,2
"Sample-24",0,0,0,164,2,232,0,0,619,18,34,0,0,0,0,1,70,11,40,37,38,19,89,1598,48,1,0,88,2,0,212,4,1,23,887,14,17,0,266,86,308,4,148,12,303,0,7,8,918,1,3,15,199,4,6,4,40,4,4,65,1,22,5,261,1642,5,0,0,0,2,3,54,104,0,8,12,1,2,0,3,4,0,0,1,0,0,2,711,81,15,58,80,4,0,3,19,90,9,1,46,1,5,0,31,430,77,60,44,1201,0,684,0,30,4,16,455,26,36,1,0,406,81,8,0,2,2,4,2,0,2
"Sample-25",0,0,0,203,2,86,0,0,831,11,17,0,0,0,0,1,40,2,30,10,26,8,36,810,69,1,0,88,2,0,285,4,1,18,42,14,15,0,24,115,228,5,251,12,264,0,7,10,718,1,2,7,268,3,7,4,8,16,3,59,1,127,19,191,1457,5,0,0,0,2,4,88,102,0,7,11,1,4,0,29,8,0,0,1,0,0,2,502,97,9,43,115,2,0,2,6,10816,1498,1,20,1,4,0,18,48,76,143,45,705,0,513,0,27,4,17,180,17,30,1,0,33,21,9,0,2,2,1,0,1,2
"Sample-26",0,0,0,193,1,282,0,0,200,17,8,0,0,0,0,1,197,7,80,37,39,9,87,2394,16,1,0,100,2,0,251,3,0,14,41,18,11,0,98,48,172,9,111,12,219,0,3,3,540,1,2,2,212,3,5,3,7,4,4,67,1,48,18,19,1050,4,0,0,0,2,3,16,76,0,6,9,1,3,0,1,3,0,0,1,0,0,9,160,121,9,33,82,2,0,2,4,11,7,1,59,1,4,0,13,80,31,98,6,855,0,50,0,273,5,68,24,34,34,2,0,18,22,7,0,2,2,1,0,0,1
"Sample-27",1,0,0,12,2,69,0,0,39,9,8,0,0,0,1,1,15,1,15,42,15,7,4,136,645,1,0,84,2,0,108,4,2,18,51,6,19,0,31,39,54,7,51,19,65,0,91,8,24,1,10,5,61,24,9,4,8,5,2,36,1,18,2,20,1417,5,0,0,0,2,4,45,40,0,8,16,16,1,0,1,25,0,0,1,0,0,2,57,41,3,19,15,2,0,2,12,2472,451,2,7,1,5,0,10,10,60,33,3,139,0,44,0,20,3,25,316,18,13,6,0,21,24,9,0,2,3,1,0,1,2
"Sample-28",2,0,0,8,1,27,0,0,20,23,14,0,0,0,0,1,14,1,13,18,14,6,3,60,330,1,1,43,3,0,128,4,245,20,476,6,13,0,75,45,147,2,48,2,148,0,60,4,35,1,11,13,91,11,6,3,7,89,2,46,1,28,2,9,782,4,0,0,0,2,3,41,44,9,8,13,9,1,0,1,55,0,0,15,2,0,1,339,52,5,18,13,2,0,2,14,8049,1553,7,8,1,4,0,11,18,39,26,8,279,0,225,0,33,3,36,206,7,11,1,0,65,50,48,0,2,2,1,0,0,1
"Sample-29",0,0,0,23,2,30,0,0,100,16,13,0,0,0,0,1,12,1,10,10,13,7,14,169,686,1,0,129,2,0,286,4,2,16,137,10,15,0,91,99,131,5,73,47,118,0,66,14,57,1,3,3,96,12,7,3,7,28,2,64,1,42,2,48,2942,5,0,0,0,2,3,88,149,0,7,12,1,1,0,1,20,0,0,1,0,0,2,218,39,8,38,38,2,0,2,4,162,29,0,5,1,4,0,13,81,352,33,5,414,0,212,0,97,3,35,1173,7,15,0,0,17,155,8,3,2,3,1,0,0,2
"Sample-30",1,0,0,33,1,11,0,0,61,16,24,0,0,0,1,1,7,0,6,4,10,3,1,18,1513,1,0,28,2,0,104,4,1,19,237,33,44,0,287,59,387,6,50,5,52,0,603,9,118,1,2,5,178,46,10,4,8,10,2,56,1,18,2,201,160,5,0,0,0,2,4,32,75,0,8,11,2,1,0,1,3,0,0,3,0,0,2,49,91,7,30,7,14,0,2,4,33,7,0,2,1,4,0,10,126,96,130,8,355,0,171,0,26,2,8,567,6,5,0,0,27,35,9,0,1,5,1,0,1,2
"Sample-31",2,0,0,88,1,41,0,0,66,11,51,0,0,0,1,1,8,0,7,6,12,4,2,32,486,1,0,70,3,1,172,4,117,65,373,29,49,0,199,71,1221,5,55,39,101,0,144,15,442,1,3,4,291,39,8,4,14,54,2,66,7,21,2,22,142,5,0,0,0,2,5,33,191,0,7,33,8,1,0,1,10,0,0,1,0,0,1,67,94,10,126,11,3,0,2,4,265,51,0,3,1,4,0,12,121,58,97,12,600,1,184,0,861,6,30,489,6,7,0,0,32,79,16,0,1,4,2,0,1,2
"Sample-32",1,0,0,46,2,28,0,0,145,28,55,0,0,0,1,1,110,0,32,12,23,8,51,111,524,1,0,84,5,5,195,4,56,46,1650,87,42,0,259,298,537,5,189,60,252,0,480,11,437,1,3,6,650,35,15,4,35,771,6,141,2,66,4,26,946,5,0,0,0,2,6,57,273,7,9,13,1,2,0,1,13,0,0,1,0,0,2,1032,204,16,183,24,51,0,3,5,331,67,1,5,2,4,0,33,156,53,209,529,1030,1,714,1,92,7,45,3191,13,9,1,0,28,290,26,0,2,4,1,0,3,2
"Sample-33",1,0,0,57,2,1086,0,0,29,13,8,0,2,0,0,1,215,5,217,153,35,35,407,2600,22,1,0,22,2,5,69,5,1,25,93,7,12,0,29,10,100,3,17,3,73,0,4,3,12,1,3,255,24,4,7,4,61,3,3,5,1,10,3,7,103,6,0,0,1,3,9,10,16,0,9,12,1,1,1,1,4,0,0,1,1,0,2,199,15,8,73,180,2,0,3,6,48,35,2,98,3,5,1,7,21,88,8,5,68,6,228,1,10,2,4,43,20,97,2,0,36,19,10,1,12,3,3,0,1,3
"Sample-34",1,0,0,53,4,85,0,1,32,47,32,0,2,0,1,3,1993,5,112,16,53,14,6,211,46,3,1,44,4,4,121,8,1,32,158,25,23,0,252,20,489,6,45,28,163,0,6,5,42,2,5,5,59,7,31,9,192,5,5,13,2,45,10,24,414,10,0,0,1,4,27,54,46,1,12,18,2,2,4,2,6,0,0,2,2,0,3,2695,28,24,20,38,12,0,5,28,19,13,3,14,4,8,1,14,115,29,23,33,147,15,441,1,30,4,13,335,44,32,1,0,33,37,15,0,9,5,3,0,2,4
"Sample-35",0,0,0,16,2,94,0,0,27,14,7,0,0,0,0,1,119,10,123,22,33,102,141,2918,28,1,0,36,2,2,154,4,0,16,71,12,10,0,36,59,101,2,56,12,815,0,5,3,27,1,2,3,36,3,6,3,7,4,2,15,1,83,2,429,2082,5,0,0,0,2,3,28,40,0,11,11,2,1,0,1,4,0,0,1,0,0,1,165,59,6,10,124,2,0,2,15,16,19,1,111,2,4,0,19,11,34,16,3,93,0,64,0,130,5,48,45,21,63,1,0,20,16,8,0,111,2,2,0,1,2
"Sample-36",0,0,0,35,2,37,0,0,14,15,5,0,3,0,0,1,184,3,720,9,22,42,21,1638,20,1,0,13,2,3,47,4,1,16,354,5,10,0,24,5,29,3,13,2,80,0,4,2,8,1,3,27,15,4,83,5,2264,2,2,2,1,6,2,4,24,6,0,0,1,2,325,7,16,0,7,11,1,1,0,1,17,0,0,5,1,0,2,23,10,10,312,17,2,0,2,6,17,8,1,69,2,12,0,2,3,36,6,2,30,146,410,0,9,2,4,4483,98,27,0,0,18,17,8,0,12,6,2,0,1,8
"Sample-37",1,0,0,40,2,422,0,0,14,16,9,0,1,0,1,1,961,6,121,207,45,60,369,1460,54,2,1,106,2,4,164,5,1,19,53,8,13,0,233,15,352,3,52,7,264,0,8,3,16,1,6,14,47,5,19,4,27,4,3,11,1,55,3,19,454,7,0,0,1,3,10,35,44,0,8,12,2,1,0,1,77,0,0,288,1,0,2,609,19,32,16,219,2,0,3,134,384,22,5,79,2,5,1,11,17,31,22,4,55,1,206,1,14,3,38,232,147,87,2,0,22,26,10,0,2,4,2,0,4,2
"Sample-38",1,0,0,18,3,411,0,1,64,348,12,0,0,0,1,2,91,15,90,66,165,53,218,1485,28,2,1,173,3,2,560,6,1,22,307,23,14,0,89,36,332,3,64,18,295,0,8,3,27,2,3,25,60,6,8,5,11,5,3,17,2,80,8,19,284,7,0,0,1,3,5,512,43,1,10,14,2,2,1,1,4,0,0,2,1,0,2,4864,23,20,47,195,6,0,3,21,176,18,3,49,2,6,1,22,76,165,19,54,128,0,1198,1,34,3,17,307,10,57,3,0,475,74,12,0,11,3,2,0,1,3
"Sample-39",0,0,0,29,1,25,0,0,67,16,14,0,0,0,0,1,16,1,16,6,11,6,2,109,245,6,0,173,2,0,93,3,1,14,229,4,12,0,24,90,391,4,145,4,398,0,47,11,474,1,2,5,323,4,9,134,3035,5,4,66,1,36,1,41,342,4,0,1,1,2,17,22,58,0,9,9,1,1,0,1,42,0,0,1,0,0,1,24,107,6,69,8,1,0,2,4,336,54,0,5,1,5,0,10,15,21,136,25,684,1,28,0,1080,13,224,355,21,7,0,0,16,15,7,1,5,2,2,0,1,2
