"genus","phylum","family"
"Peptostreptococcus anaerobius et rel.","Firmicutes","Clostridium cluster XI"
"Peptostreptococcus micros et rel.","Firmicutes","Clostridium cluster XIII"
"Phascolarctobacterium faecium et rel.","Firmicutes","Clostridium cluster IX"
"Prevotella melaninogenica et rel.","Bacteroidetes","Bacteroidetes"
"Prevotella oralis et rel.","Bacteroidetes","Bacteroidetes"
"Prevotella ruminicola et rel.","Bacteroidetes","Bacteroidetes"
"Prevotella tannerae et rel.","Bacteroidetes","Bacteroidetes"
"Propionibacterium","Actinobacteria","Actinobacteria"
"Proteus et rel.","Proteobacteria","Proteobacteria"
"Pseudomonas","Proteobacteria","Proteobacteria"
"Roseburia intestinalis et rel.","Firmicutes","Clostridium cluster XIVa"
"Ruminococcus bromii et rel.","Firmicutes","Clostridium cluster IV"
"Ruminococcus callidus et rel.","Firmicutes","Clostridium cluster IV"
"Ruminococcus gnavus et rel.","Firmicutes","Clostridium cluster XIVa"
"Ruminococcus lactaris et rel.","Firmicutes","Clostridium cluster XIVa"
"Ruminococcus obeum et rel.","Firmicutes","Clostridium cluster XIVa"
"Serratia","Proteobacteria","Proteobacteria"
"Sporobacter termitidis et rel.","Firmicutes","Clostridium cluster IV"
"Staphylococcus","Firmicutes","Bacilli"
"Streptococcus bovis et rel.","Firmicutes","Bacilli"
"Streptococcus intermedius et rel.","Firmicutes","Bacilli"
"Streptococcus mitis et rel.","Firmicutes","Bacilli"
"Subdoligranulum variable at rel.","Firmicutes","Clostridium cluster IV"
"Sutterella wadsworthia et rel.","Proteobacteria","Proteobacteria"
"Tannerella et rel.","Bacteroidetes","Bacteroidetes"
"Uncultured Bacteroidetes","Bacteroidetes","Bacteroidetes"
"Uncultured Chroococcales","Cyanobacteria","Cyanobacteria"
"Uncultured Clostridiales I","Firmicutes","Uncultured Clostridiales"
"Uncultured Clostridiales II","Firmicutes","Uncultured Clostridiales"
"Uncultured Mollicutes","Firmicutes","Uncultured Mollicutes"
"Uncultured Selenomonadaceae","Firmicutes","Clostridium cluster IX"
"Veillonella","Firmicutes","Clostridium cluster IX"
"Vibrio","Proteobacteria","Proteobacteria"
"Weissella et rel.","Firmicutes","Bacilli"
"Wissella et rel.","Firmicutes","Bacilli"
"Xanthomonadaceae","Proteobacteria","Proteobacteria"
"Yersinia et rel.","Proteobacteria","Proteobacteria"
